,Mean NC18O (cm-2),Standard deviation NC18O (cm-2),Median NC18O (cm-2),Min NC18O (cm-2),Max NC18O (cm-2),Sum NC18O (cm-2 Npx),u Sum NC18O (cm-2 Npx),Sum NH2 (cm-2 Npx),u Sum NH2 (cm-2 Npx),M (M_sun),u M (M_sun)
10.0,2248431046687119.5,985091360578537.9,2283507129295053.0,355387659583586.5,4580620973219448.0,2.2709153571539907e+18,4.9468892065867016e+16,1.3398400607208531e+25,2.9186646318861582e+23,0.013650272339049982,0.00029735315624287637
11.0,2114053875895947.0,926217511544826.0,2147033641274036.5,334147965220131.4,4306860793757925.5,2.1351944146549064e+18,4.651239056773067e+16,1.259764704646396e+25,2.7442310434961292e+23,0.012834465699058441,0.0002795818859517004
12.0,2024314595034973.0,886900588568276.8,2055894405349596.8,319963748610559.44,4124039251314322.5,2.0445577409853228e+18,4.4537990327385576e+16,1.2062890671813393e+25,2.6277414293157458e+23,0.012289656630945042,0.0002677139398822406
13.0,1964420405029631.8,860659512947993.0,1995065851108600.2,310496855667582.44,4002019684240344.0,1.984064609079928e+18,4.3220227336559896e+16,1.1705981193571595e+25,2.5499934128570763e+23,0.011926037739316468,0.00025979298252625
14.0,1925377324959970.2,843553806760707.0,1955413689295554.0,304325695173540.75,3922479085612828.0,1.94463109820957e+18,4.2361220378472e+16,1.1473323479436445e+25,2.4993120023298722e+23,0.011689006376183694,0.00025462956730599377
15.0,1901429341058816.5,833061622853597.1,1931092110899324.0,300540469932626.6,3873691004036763.0,1.9204436344694047e+18,4.183432842305864e+16,1.1330617443369505e+25,2.468225376960484e+23,0.011543617660481911,0.0002514624661359793
